Japan, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 10/03/2023
Year      sdMAB    sdMAB40
1947       6.03       5.22
1948       6.14       5.34
1949       5.91       5.20
1950       5.77       5.12
1951       5.63       5.03
1952       5.49       4.92
1953       5.36       4.84
1954       5.25       4.76
1955       5.12       4.67
1956       5.01       4.58
1957       4.85       4.45
1958       4.71       4.34
1959       4.59       4.24
1960       4.42       4.11
1961       4.29       4.02
1962       4.19       3.95
1963       4.14       3.92
1964       4.10       3.90
1965       4.06       3.88
1966       4.22       4.01
1967       3.99       3.84
1968       4.03       3.87
1969       4.03       3.87
1970       4.03       3.87
1971       4.01       3.86
1972       4.02       3.86
1973       4.02       3.87
1974       3.99       3.85
1975       3.94       3.79
1976       3.88       3.74
1977       3.85       3.71
1978       3.81       3.68
1979       3.80       3.68
1980       3.82       3.69
1981       3.84       3.72
1982       3.86       3.74
1983       3.89       3.78
1984       3.92       3.81
1985       3.94       3.83
1986       3.97       3.85
1987       3.98       3.86
1988       4.03       3.90
1989       4.09       3.96
1990       4.14       4.00
1991       4.18       4.04
1992       4.23       4.09
1993       4.27       4.13
1994       4.32       4.17
1995       4.38       4.22
1996       4.42       4.25
1997       4.50       4.32
1998       4.56       4.38
1999       4.64       4.45
2000       4.73       4.53
2001       4.81       4.61
2002       4.88       4.67
2003       4.91       4.68
2004       4.95       4.71
2005       4.97       4.72
2006       4.98       4.73
2007       5.02       4.75
2008       5.06       4.78
2009       5.08       4.78
2010       5.07       4.76
2011       5.08       4.76
2012       5.08       4.74
2013       5.10       4.75
2014       5.12       4.76
2015       5.09       4.72
2016       5.10       4.72
2017       5.08       4.68
2018       5.06       4.65
2019       5.05       4.63
2020       5.01       4.58
2021       4.97       4.51
