South Korea, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 19/08/2022
Year       MAB     MAB40
2000     28.93     28.80
2001     29.13     28.99
2002     29.32     29.17
2003     29.52     29.36
2004     29.77     29.62
2005     30.00     29.84
2006     30.20     30.05
2007     30.35     30.19
2008     30.55     30.39
2009     30.72     30.55
2010     30.99     30.81
2011     31.14     30.93
2012     31.29     31.08
2013     31.49     31.27
2014     31.66     31.43
2015     31.84     31.60
2016     32.01     31.74
2017     32.22     31.93
2018     32.46     32.13
2019     32.71     32.34
2020     32.88     32.50
