South Korea, Period total fertility rates and period total fertility rates by age 40
Last modified: 19/08/2022
Year       TFR     TFR40
2000     1.480     1.466
2001     1.309     1.295
2002     1.177     1.164
2003     1.191     1.176
2004     1.164     1.149
2005     1.085     1.070
2006     1.131     1.117
2007     1.258     1.241
2008     1.191     1.174
2009     1.147     1.129
2010     1.223     1.202
2011     1.241     1.218
2012     1.294     1.268
2013     1.185     1.160
2014     1.204     1.177
2015     1.238     1.208
2016     1.172     1.140
2017     1.052     1.020
2018     0.978     0.944
2019     0.919     0.883
2020     0.838     0.802
