Taiwan, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 28/01/2021
Year       MAB     MAB40
1976     26.50     26.27
1977     26.28     26.07
1978     26.22     26.03
1979     26.10     25.95
1980     26.12     25.97
1981     26.12     25.99
1982     26.15     26.02
1983     26.23     26.12
1984     26.29     26.19
1985     26.40     26.30
1986     26.48     26.37
1987     26.62     26.53
1988     26.84     26.77
1989     26.95     26.86
1990     27.07     26.98
1991     27.19     27.10
1992     27.28     27.19
1993     27.37     27.27
1994     27.51     27.41
1995     27.62     27.51
1996     27.74     27.63
1997     27.88     27.78
1998     27.99     27.86
1999     28.14     28.02
2000     28.21     28.08
2001     28.21     28.06
2002     28.27     28.13
2003     28.43     28.28
2004     28.56     28.40
2005     28.83     28.66
2006     29.11     28.93
2007     29.44     29.26
2008     29.72     29.52
2009     30.05     29.83
2010     30.40     30.14
2011     30.61     30.36
2012     30.74     30.47
2013     30.96     30.63
2014     31.09     30.76
2015     31.17     30.82
2016     31.32     30.93
2017     31.43     31.01
2018     31.49     31.03
2019     31.58     31.08
