Taiwan, Period total fertility rates and period total fertility rates by age 40
Last modified: 28/01/2021
Year       TFR     TFR40
1976     3.072     3.028
1977     2.680     2.646
1978     2.680     2.651
1979     2.631     2.607
1980     2.490     2.468
1981     2.434     2.415
1982     2.301     2.283
1983     2.140     2.126
1984     2.038     2.025
1985     1.872     1.860
1986     1.660     1.649
1987     1.686     1.676
1988     1.834     1.825
1989     1.677     1.667
1990     1.800     1.790
1991     1.716     1.706
1992     1.729     1.719
1993     1.760     1.749
1994     1.754     1.742
1995     1.775     1.762
1996     1.769     1.756
1997     1.778     1.764
1998     1.469     1.456
1999     1.551     1.538
2000     1.674     1.658
2001     1.400     1.386
2002     1.337     1.324
2003     1.231     1.217
2004     1.177     1.163
2005     1.116     1.101
2006     1.108     1.093
2007     1.091     1.075
2008     1.050     1.032
2009     1.022     1.003
2010     0.887     0.867
2011     1.056     1.032
2012     1.257     1.227
2013     1.056     1.025
2014     1.159     1.124
2015     1.187     1.149
2016     1.175     1.133
2017     1.122     1.078
2018     1.062     1.016
2019     1.049     1.001
